player,batting_runs,batting_balls,dismissals,batting_strike_rate,batting_average,matches_played,Death,Middle,Powerplay,boundary_pct,dot_ball_pct,dismissal_rate,avg_pp_balls_per_match,avg_middle_balls_per_match,avg_death_balls_per_match,runs_conceded,bowling_balls,wickets,overs,economy
SN Thakur,325,243,26,133.7448559670782,12.5,40,136.64596273291926,134.6153846153846,0.0,60.92307692307693,37.86008230452675,9.346153846153848,0.1,1.95,4.025,3116,2070,109,345.0,9.031884057971014
SP Narine,1780,1144,95,155.5944055944056,18.73684210526316,118,119.08396946564883,157.4750830564784,161.51685393258427,81.57303370786518,48.68881118881119,12.042105263157897,6.033898305084746,2.5508474576271185,1.1101694915254237,4931,4351,192,725.1666666666666,6.799816134222018
SR Watson,3880,2892,126,134.1632088520055,30.793650793650794,141,180.4780876494024,148.70274277242402,109.98452012383902,68.24742268041237,43.15352697095436,22.952380952380956,9.163120567375886,9.567375886524824,1.7801418439716312,2622,2029,92,338.1666666666667,7.753573188762937
ST Jayasuriya,768,573,29,134.03141361256544,26.48275862068965,30,,149.41176470588235,127.54342431761788,74.21875,50.95986038394416,19.75862068965517,13.433333333333334,5.666666666666667,0.0,381,294,13,49.0,7.775510204081633
STR Binny,880,700,44,125.71428571428572,20.0,66,149.24812030075188,113.6919315403423,72.0,53.86363636363637,38.285714285714285,15.909090909090908,0.3787878787878788,6.196969696969697,4.03030303030303,746,594,23,99.0,7.535353535353535
Shahbaz Ahmed,545,475,30,114.73684210526316,18.166666666666668,38,135.0253807106599,102.78884462151396,77.77777777777779,48.80733944954129,38.73684210526316,15.833333333333334,0.7105263157894737,6.605263157894737,5.184210526315789,930,588,22,98.0,9.489795918367347
Shakib Al Hasan,795,665,40,119.54887218045114,19.875,52,130.55555555555557,114.4,97.36842105263158,52.57861635220126,35.93984962406015,16.625,0.7307692307692307,7.211538461538462,4.846153846153846,1827,1484,63,247.33333333333331,7.386792452830188
TM Dilshan,1153,1047,41,110.12416427889208,28.121951219512194,50,160.48387096774192,99.78586723768736,107.01754385964912,61.05810928013877,46.99140401146132,25.536585365853657,9.12,9.34,2.48,363,271,5,45.16666666666666,8.03690036900369
UT Yadav,208,211,21,98.5781990521327,9.904761904761903,48,103.53535353535352,23.07692307692308,,56.730769230769226,50.23696682464455,10.047619047619047,0.0,0.2708333333333333,4.125,4262,3057,144,509.5,8.365063788027477
V Kohli,8671,6702,231,129.37928976424948,37.53679653679654,259,177.71226415094338,122.37041527735676,122.38747553816049,55.91050628531888,34.78066248880931,29.01298701298701,9.864864864864863,12.737451737451735,3.2741312741312742,350,251,4,41.833333333333336,8.366533864541832
V Shankar,1233,985,46,125.17766497461928,26.80434782608696,63,158.46153846153845,112.3574144486692,94.77611940298507,51.9059205190592,34.41624365482234,21.41304347826087,2.126984126984127,8.34920634920635,5.158730158730159,315,238,9,39.66666666666666,7.9411764705882355
Washington Sundar,511,426,32,119.9530516431925,15.96875,43,135.7487922705314,103.26086956521738,114.28571428571428,51.66340508806262,37.32394366197183,13.3125,0.813953488372093,4.27906976744186,4.813953488372093,1428,1119,38,186.5,7.656836461126005
Y Venugopal Rao,985,865,42,113.8728323699422,23.452380952380956,52,148.84615384615384,103.77733598409542,74.50980392156863,53.80710659898477,41.04046242774567,20.59523809523809,1.9615384615384612,9.673076923076923,5.0,330,216,6,36.0,9.166666666666666
YK Pathan,3222,2334,111,138.04627249357327,29.027027027027028,153,153.82513661202185,128.90044576523033,141.015625,62.63190564866542,37.36075407026564,21.027027027027028,1.673202614379085,8.797385620915033,4.784313725490196,1400,1147,41,191.16666666666663,7.323452484742807
Yuvraj Singh,2754,2207,109,124.78477571363842,25.26605504587156,126,169.34579439252337,112.20338983050848,97.96954314720811,64.12490922294843,44.26823742637064,20.24770642201835,1.5634920634920637,11.706349206349206,4.246031746031746,1078,869,36,144.83333333333334,7.443037974683544
