bowler,runs_conceded,balls,wickets,overs,economy,death_overs_economy,middle_overs_economy,powerplay_economy,death_overs_balls_bowled,middle_overs_balls_bowled,powerplay_balls_bowled,total_balls_bowled
M Kartik,1366,1149,31,191.5,7.133159268929504,8.025974025974026,7.022058823529412,6.871508379888269,154,816,179,1149
M Manhas,42,42,0,7.0,6.0,8.0,5.666666666666667,,6,36,0,42
M Markande,1062,720,36,120.0,8.85,10.9375,8.528846153846153,,96,624,0,720
M Morkel,2042,1629,77,271.5,7.5211786372007365,9.092307692307692,7.54954954954955,6.8344370860927155,390,333,906,1629
M Muralitharan,1700,1528,64,254.66666666666666,6.675392670157068,7.985454545454545,6.401809954751132,6.283783783783783,275,1105,148,1528
M Ntini,252,210,7,35.0,7.2,8.5,7.333333333333333,6.884615384615385,36,18,156,210
M Pathirana,942,702,47,117.0,8.051282051282051,8.686567164179104,7.2,,402,300,0,702
M Prasidh Krishna,2135,1506,75,251.0,8.50597609561753,10.032,7.511450381679389,7.898858075040783,500,393,613,1506
M Shahrukh Khan,29,18,1,3.0,9.666666666666666,7.0,11.0,,6,12,0,18
M Siddharth,130,97,3,16.166666666666668,8.041237113402062,,9.666666666666666,7.081967213114755,0,36,61,97
M Theekshana,1192,876,36,146.0,8.164383561643836,8.5,7.75,8.538461538461538,156,408,312,876
M Tiwari,14,6,0,1.0,14.0,,14.0,,0,6,0,6
M Vijay,48,36,0,6.0,8.0,,8.2,7.0,0,30,6,36
M de Lange,158,108,5,18.0,8.777777777777779,11.4,9.333333333333334,7.3,30,18,60,108
MA Khote,52,30,2,5.0,10.4,12.0,9.333333333333334,,12,18,0,30
MA Starc,1485,1064,65,177.33333333333334,8.37406015037594,8.616822429906541,7.181818181818182,8.504091653027823,321,132,611,1064
MA Wood,185,120,11,20.0,9.25,12.11111111111111,5.428571428571429,9.5,54,42,24,120
MB Parmar,32,18,0,3.0,10.666666666666666,,9.5,13.0,0,12,6,18
MC Henriques,1268,950,42,158.33333333333334,8.00842105263158,9.428571428571429,7.775038520801233,8.068965517241379,98,649,203,950
MF Maharoof,504,420,27,70.0,7.2,8.882352941176471,6.0,7.25,102,150,168,420
MG Bracewell,95,66,6,11.0,8.636363636363637,,9.11111111111111,6.5,0,54,12,66
MG Johnson,1655,1235,62,205.83333333333334,8.040485829959513,9.298013245033113,7.673076923076923,7.613526570048309,302,312,621,1235
MG Neser,59,24,0,4.0,14.75,16.5,8.0,18.0,12,6,6,24
MJ Clarke,72,66,2,11.0,6.545454545454546,9.0,6.3,,6,60,0,66
MJ Henry,180,102,2,17.0,10.588235294117647,14.333333333333334,8.0,9.923076923076923,18,6,78,102
MJ McClenaghan,1730,1274,71,212.33333333333334,8.14756671899529,8.902173913043478,8.452380952380953,7.605504587155964,368,252,654,1274
MJ Santner,718,603,24,100.5,7.144278606965174,9.333333333333334,6.814285714285714,7.434782608695652,45,420,138,603
MJ Suthar,26,12,0,2.0,13.0,,,13.0,0,0,12,12
MK Lomror,123,90,1,15.0,8.2,,8.615384615384615,5.5,0,78,12,90
MK Tiwary,78,42,1,7.0,11.142857142857142,13.5,10.2,,12,30,0,42
MM Ali,1021,854,41,142.33333333333334,7.173302107728337,7.578947368421052,7.360912981455065,5.5625,57,701,96,854
MM Patel,1682,1355,74,225.83333333333334,7.4479704797047965,10.111475409836066,6.136363636363637,7.0,305,396,654,1355
